trial_id	current_foil	matched_target_pv	verb	particle	in_phave_or_sandaw_top150	wordnet_verb_expression_hit	classification	recommended_action	rationale	rater_common_pv_yes_no_unsure	rater_naturalness_1_4	rater_comments
audio_049	break along	break off	break	along	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_050	hand under	hand over	hand	under	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_051	give across	give out	give	across	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_052	put along	put in	put	along	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_053	take above	take in	take	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_054	sit over	sit back	sit	over	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_055	hold across	hold back	hold	across	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_056	move under	move up	move	under	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_057	get beside	get on	get	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_058	come beyond	come along	come	beyond	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_059	stand through	stand out	stand	through	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_060	pull under	pull back	pull	under	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_061	run above	run out	run	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_062	turn along	turn over	turn	along	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_063	put beside	put on	put	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_064	take beside	take back	take	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_065	make under	make out	make	under	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_066	pay under	pay off	pay	under	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_067	get above	get off	get	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_068	turn beside	turn up	turn	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_069	get beyond	get down	get	beyond	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_070	cut above	cut off	cut	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_071	bring below	bring in	bring	below	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_072	put beyond	put out	put	beyond	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_073	clean along	clean up	clean	along	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_074	set across	set out	set	across	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_075	break above	break down	break	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_076	reach under	reach out	reach	under	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_077	keep along	keep up	keep	along	no	no	screen_as_plausible_non_pv	native_screen	Not in PHaVE/S&AW PHaVE or WordNet; particle is common enough for screening.			
audio_078	put beneath	put up	put	beneath	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_079	turn beyond	turn around	turn	beyond	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_080	back under	back up	back	under	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_081	look beside	look out	look	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_082	take beneath	take out	take	beneath	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_083	look beneath	look back	look	beneath	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_084	go beside	go up	go	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_085	go above	go down	go	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_086	come beside	come on	come	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_087	come above	come in	come	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_088	come beneath	come out	come	beneath	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_089	bring beside	bring about	bring	beside	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_090	carry above	carry out	carry	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_091	rule below	rule out	rule	below	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_092	point beneath	point out	point	beneath	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_093	sum below	sum up	sum	below	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_094	follow above	follow up	follow	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_095	lay below	lay out	lay	below	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
audio_096	work above	work out	work	above	no	no	possible_but_too_transparent	replace_if_possible	Not a known PV, but the spatial preposition may make rejection too easy.			
