recording_id	audio_file_name	task	item_id	pv_id	pv	condition	expected_response	text_to_record	target_form	recording_notes
rec_ljt_v5_ljt_001a	rec_ljt_v5_ljt_001a.wav	aural_pv_ljt	ljt_001a	pv_001	break off	acceptable	acceptable	The committee broke off the negotiations.	broke off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_001b	rec_ljt_v5_ljt_001b.wav	aural_pv_ljt	ljt_001b	pv_001	break off	unacceptable	unacceptable	The committee broke off the agenda.	broke off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_002a	rec_ljt_v5_ljt_002a.wav	aural_pv_ljt	ljt_002a	pv_002	hand over	acceptable	acceptable	The officer handed over the documents.	handed over	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_002b	rec_ljt_v5_ljt_002b.wav	aural_pv_ljt	ljt_002b	pv_002	hand over	unacceptable	unacceptable	The officer handed over the deadline.	handed over	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_003a	rec_ljt_v5_ljt_003a.wav	aural_pv_ljt	ljt_003a	pv_003	give out	acceptable	acceptable	The old engine gave out suddenly.	gave out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_003b	rec_ljt_v5_ljt_003b.wav	aural_pv_ljt	ljt_003b	pv_003	give out	unacceptable	unacceptable	The old answer gave out suddenly.	gave out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_004a	rec_ljt_v5_ljt_004a.wav	aural_pv_ljt	ljt_004a	pv_004	put in	acceptable	acceptable	She put in steady effort yesterday.	put in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_004b	rec_ljt_v5_ljt_004b.wav	aural_pv_ljt	ljt_004b	pv_004	put in	unacceptable	unacceptable	She put in steady evidence yesterday.	put in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_005a	rec_ljt_v5_ljt_005a.wav	aural_pv_ljt	ljt_005a	pv_005	take in	acceptable	acceptable	The lecture was hard to take in.	take in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_005b	rec_ljt_v5_ljt_005b.wav	aural_pv_ljt	ljt_005b	pv_005	take in	unacceptable	unacceptable	The doorway was hard to take in.	take in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_006a	rec_ljt_v5_ljt_006a.wav	aural_pv_ljt	ljt_006a	pv_006	sit back	acceptable	acceptable	The mayor sat back during the crisis.	sat back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_006b	rec_ljt_v5_ljt_006b.wav	aural_pv_ljt	ljt_006b	pv_006	sit back	unacceptable	unacceptable	The mayor sat back during the sprint.	sat back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_007a	rec_ljt_v5_ljt_007a.wav	aural_pv_ljt	ljt_007a	pv_007	hold back	acceptable	acceptable	Poor training held back the players.	held back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_007b	rec_ljt_v5_ljt_007b.wav	aural_pv_ljt	ljt_007b	pv_007	hold back	unacceptable	unacceptable	Extra support held back the players.	held back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_008a	rec_ljt_v5_ljt_008a.wav	aural_pv_ljt	ljt_008a	pv_008	move up	acceptable	acceptable	She moved up to senior manager.	moved up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_008b	rec_ljt_v5_ljt_008b.wav	aural_pv_ljt	ljt_008b	pv_008	move up	unacceptable	unacceptable	She moved up to junior assistant.	moved up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_009a	rec_ljt_v5_ljt_009a.wav	aural_pv_ljt	ljt_009a	pv_009	get on	acceptable	acceptable	The tourists got on the bus.	got on	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_009b	rec_ljt_v5_ljt_009b.wav	aural_pv_ljt	ljt_009b	pv_009	get on	unacceptable	unacceptable	The tourists got on the lecture.	got on	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_010a	rec_ljt_v5_ljt_010a.wav	aural_pv_ljt	ljt_010a	pv_010	come along	acceptable	acceptable	A rare chance came along today.	came along	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_010b	rec_ljt_v5_ljt_010b.wav	aural_pv_ljt	ljt_010b	pv_010	come along	unacceptable	unacceptable	A rare schedule came along today.	came along	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_011a	rec_ljt_v5_ljt_011a.wav	aural_pv_ljt	ljt_011a	pv_011	stand out	acceptable	acceptable	Her analysis stood out among reports.	stood out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_011b	rec_ljt_v5_ljt_011b.wav	aural_pv_ljt	ljt_011b	pv_011	stand out	unacceptable	unacceptable	Her analysis stood out among deadlines.	stood out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_012a	rec_ljt_v5_ljt_012a.wav	aural_pv_ljt	ljt_012a	pv_012	pull back	acceptable	acceptable	The company pulled back from investment.	pulled back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_012b	rec_ljt_v5_ljt_012b.wav	aural_pv_ljt	ljt_012b	pv_012	pull back	unacceptable	unacceptable	The company pulled back from approval.	pulled back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_013a	rec_ljt_v5_ljt_013a.wav	aural_pv_ljt	ljt_013a	pv_013	run out	acceptable	acceptable	The office ran out of paper.	ran out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_013b	rec_ljt_v5_ljt_013b.wav	aural_pv_ljt	ljt_013b	pv_013	run out	unacceptable	unacceptable	The office ran out of agenda.	ran out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_014a	rec_ljt_v5_ljt_014a.wav	aural_pv_ljt	ljt_014a	pv_014	turn over	acceptable	acceptable	The officer turned over the files.	turned over	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_014b	rec_ljt_v5_ljt_014b.wav	aural_pv_ljt	ljt_014b	pv_014	turn over	unacceptable	unacceptable	The officer turned over the deadline.	turned over	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_015a	rec_ljt_v5_ljt_015a.wav	aural_pv_ljt	ljt_015a	pv_015	put on	acceptable	acceptable	The school put on a concert.	put on	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_015b	rec_ljt_v5_ljt_015b.wav	aural_pv_ljt	ljt_015b	pv_015	put on	unacceptable	unacceptable	The school put on a textbook.	put on	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_016a	rec_ljt_v5_ljt_016a.wav	aural_pv_ljt	ljt_016a	pv_016	take back	acceptable	acceptable	The party took back the council.	took back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_016b	rec_ljt_v5_ljt_016b.wav	aural_pv_ljt	ljt_016b	pv_016	take back	unacceptable	unacceptable	The party took back the outcome.	took back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_017a	rec_ljt_v5_ljt_017a.wav	aural_pv_ljt	ljt_017a	pv_017	make out	acceptable	acceptable	I could barely make out the sign outside.	make out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_017b	rec_ljt_v5_ljt_017b.wav	aural_pv_ljt	ljt_017b	pv_017	make out	unacceptable	unacceptable	I could barely make out the flavor outside.	make out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_018a	rec_ljt_v5_ljt_018a.wav	aural_pv_ljt	ljt_018a	pv_018	pay off	acceptable	acceptable	The hard work paid off eventually.	paid off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_018b	rec_ljt_v5_ljt_018b.wav	aural_pv_ljt	ljt_018b	pv_018	pay off	unacceptable	unacceptable	The hard weather paid off eventually.	paid off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_019a	rec_ljt_v5_ljt_019a.wav	aural_pv_ljt	ljt_019a	pv_019	get off	acceptable	acceptable	The children got off the train.	got off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_019b	rec_ljt_v5_ljt_019b.wav	aural_pv_ljt	ljt_019b	pv_019	get off	unacceptable	unacceptable	The children got off the deadline.	got off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_020a	rec_ljt_v5_ljt_020a.wav	aural_pv_ljt	ljt_020a	pv_020	turn up	acceptable	acceptable	He turned up at the meeting.	turned up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_020b	rec_ljt_v5_ljt_020b.wav	aural_pv_ljt	ljt_020b	pv_020	turn up	unacceptable	unacceptable	He turned up at the method.	turned up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_021a	rec_ljt_v5_ljt_021a.wav	aural_pv_ljt	ljt_021a	pv_021	get down	acceptable	acceptable	The soldiers got down behind the wall.	got down	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_021b	rec_ljt_v5_ljt_021b.wav	aural_pv_ljt	ljt_021b	pv_021	get down	unacceptable	unacceptable	The soldiers got down behind the idea.	got down	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_022a	rec_ljt_v5_ljt_022a.wav	aural_pv_ljt	ljt_022a	pv_022	cut off	acceptable	acceptable	The host cut off the speaker.	cut off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_022b	rec_ljt_v5_ljt_022b.wav	aural_pv_ljt	ljt_022b	pv_022	cut off	unacceptable	unacceptable	The host cut off the policy.	cut off	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_023a	rec_ljt_v5_ljt_023a.wav	aural_pv_ljt	ljt_023a	pv_023	bring in	acceptable	acceptable	The firm brought in an expert.	brought in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_023b	rec_ljt_v5_ljt_023b.wav	aural_pv_ljt	ljt_023b	pv_023	bring in	unacceptable	unacceptable	The firm brought in a deadline.	brought in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_024a	rec_ljt_v5_ljt_024a.wav	aural_pv_ljt	ljt_024a	pv_024	put out	acceptable	acceptable	Police put out a warning.	put out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_024b	rec_ljt_v5_ljt_024b.wav	aural_pv_ljt	ljt_024b	pv_024	put out	unacceptable	unacceptable	Police put out a wallet.	put out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_025a	rec_ljt_v5_ljt_025a.wav	aural_pv_ljt	ljt_025a	pv_025	clean up	acceptable	acceptable	The editor cleaned up the insults.	cleaned up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_025b	rec_ljt_v5_ljt_025b.wav	aural_pv_ljt	ljt_025b	pv_025	clean up	unacceptable	unacceptable	The editor cleaned up the deadline.	cleaned up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_026a	rec_ljt_v5_ljt_026a.wav	aural_pv_ljt	ljt_026a	pv_026	set out	acceptable	acceptable	The report set out the rules.	set out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_026b	rec_ljt_v5_ljt_026b.wav	aural_pv_ljt	ljt_026b	pv_026	set out	unacceptable	unacceptable	The report set out the pencils.	set out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_027a	rec_ljt_v5_ljt_027a.wav	aural_pv_ljt	ljt_027a	pv_027	break down	acceptable	acceptable	The teacher broke down the problem.	broke down	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_027b	rec_ljt_v5_ljt_027b.wav	aural_pv_ljt	ljt_027b	pv_027	break down	unacceptable	unacceptable	The teacher broke down the applause.	broke down	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_028a	rec_ljt_v5_ljt_028a.wav	aural_pv_ljt	ljt_028a	pv_028	reach out	acceptable	acceptable	The manager reached out to clients.	reached out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_028b	rec_ljt_v5_ljt_028b.wav	aural_pv_ljt	ljt_028b	pv_028	reach out	unacceptable	unacceptable	The manager reached out to deadlines.	reached out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_029a	rec_ljt_v5_ljt_029a.wav	aural_pv_ljt	ljt_029a	pv_029	keep up	acceptable	acceptable	She kept up the good work.	kept up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_029b	rec_ljt_v5_ljt_029b.wav	aural_pv_ljt	ljt_029b	pv_029	keep up	unacceptable	unacceptable	She kept up the heavy claim.	kept up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_030a	rec_ljt_v5_ljt_030a.wav	aural_pv_ljt	ljt_030a	pv_030	put up	acceptable	acceptable	They put up posters downtown.	put up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_030b	rec_ljt_v5_ljt_030b.wav	aural_pv_ljt	ljt_030b	pv_030	put up	unacceptable	unacceptable	They put up music downtown.	put up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_031a	rec_ljt_v5_ljt_031a.wav	aural_pv_ljt	ljt_031a	pv_031	turn around	acceptable	acceptable	The coach turned around the team.	turned around	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_031b	rec_ljt_v5_ljt_031b.wav	aural_pv_ljt	ljt_031b	pv_031	turn around	unacceptable	unacceptable	The coach turned around the deadline.	turned around	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_032a	rec_ljt_v5_ljt_032a.wav	aural_pv_ljt	ljt_032a	pv_032	back up	acceptable	acceptable	The data backed up the claim.	backed up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_032b	rec_ljt_v5_ljt_032b.wav	aural_pv_ljt	ljt_032b	pv_032	back up	unacceptable	unacceptable	The data backed up the deadline.	backed up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_033a	rec_ljt_v5_ljt_033a.wav	aural_pv_ljt	ljt_033a	pv_033	look out	acceptable	acceptable	She looked out at the garden.	looked out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_033b	rec_ljt_v5_ljt_033b.wav	aural_pv_ljt	ljt_033b	pv_033	look out	unacceptable	unacceptable	She looked out at the deadline.	looked out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_034a	rec_ljt_v5_ljt_034a.wav	aural_pv_ljt	ljt_034a	pv_034	take out	acceptable	acceptable	He took out a loan yesterday.	took out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_034b	rec_ljt_v5_ljt_034b.wav	aural_pv_ljt	ljt_034b	pv_034	take out	unacceptable	unacceptable	He took out a deadline yesterday.	took out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_035a	rec_ljt_v5_ljt_035a.wav	aural_pv_ljt	ljt_035a	pv_035	look back	acceptable	acceptable	They looked back on the decision.	looked back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_035b	rec_ljt_v5_ljt_035b.wav	aural_pv_ljt	ljt_035b	pv_035	look back	unacceptable	unacceptable	They looked back on the ceiling.	looked back	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_036a	rec_ljt_v5_ljt_036a.wav	aural_pv_ljt	ljt_036a	pv_036	go up	acceptable	acceptable	The rent went up sharply.	went up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_036b	rec_ljt_v5_ljt_036b.wav	aural_pv_ljt	ljt_036b	pv_036	go up	unacceptable	unacceptable	The advice went up sharply.	went up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_037a	rec_ljt_v5_ljt_037a.wav	aural_pv_ljt	ljt_037a	pv_037	go down	acceptable	acceptable	The rent went down sharply.	went down	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_037b	rec_ljt_v5_ljt_037b.wav	aural_pv_ljt	ljt_037b	pv_037	go down	unacceptable	unacceptable	The advice went down sharply.	went down	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_038a	rec_ljt_v5_ljt_038a.wav	aural_pv_ljt	ljt_038a	pv_038	come on	acceptable	acceptable	Oh, come on, that sounds impossible.	come on	Use natural disbelief intonation on 'come on'; avoid sarcasm or added contrastive stress.
rec_ljt_v5_ljt_038b	rec_ljt_v5_ljt_038b.wav	aural_pv_ljt	ljt_038b	pv_038	come on	unacceptable	unacceptable	Oh, come on, that sounds accurate.	come on	Use natural disbelief intonation on 'come on'; avoid sarcasm or added contrastive stress.
rec_ljt_v5_ljt_039a	rec_ljt_v5_ljt_039a.wav	aural_pv_ljt	ljt_039a	pv_039	come in	acceptable	acceptable	Experts came in during planning.	came in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_039b	rec_ljt_v5_ljt_039b.wav	aural_pv_ljt	ljt_039b	pv_039	come in	unacceptable	unacceptable	Experts came in during deadline.	came in	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_040a	rec_ljt_v5_ljt_040a.wav	aural_pv_ljt	ljt_040a	pv_040	come out	acceptable	acceptable	The truth came out during interviews.	came out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_040b	rec_ljt_v5_ljt_040b.wav	aural_pv_ljt	ljt_040b	pv_040	come out	unacceptable	unacceptable	The furniture came out during interviews.	came out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_041a	rec_ljt_v5_ljt_041a.wav	aural_pv_ljt	ljt_041a	pv_041	bring about	acceptable	acceptable	The reforms brought about major change.	brought about	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_041b	rec_ljt_v5_ljt_041b.wav	aural_pv_ljt	ljt_041b	pv_041	bring about	unacceptable	unacceptable	The reforms brought about major furniture.	brought about	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_042a	rec_ljt_v5_ljt_042a.wav	aural_pv_ljt	ljt_042a	pv_042	carry out	acceptable	acceptable	The researchers carried out the survey.	carried out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_042b	rec_ljt_v5_ljt_042b.wav	aural_pv_ljt	ljt_042b	pv_042	carry out	unacceptable	unacceptable	The researchers carried out the deadline.	carried out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_043a	rec_ljt_v5_ljt_043a.wav	aural_pv_ljt	ljt_043a	pv_043	rule out	acceptable	acceptable	The evidence ruled out that explanation.	ruled out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_043b	rec_ljt_v5_ljt_043b.wav	aural_pv_ljt	ljt_043b	pv_043	rule out	unacceptable	unacceptable	The evidence ruled out that deadline.	ruled out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_044a	rec_ljt_v5_ljt_044a.wav	aural_pv_ljt	ljt_044a	pv_044	point out	acceptable	acceptable	The teacher pointed out the error.	pointed out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_044b	rec_ljt_v5_ljt_044b.wav	aural_pv_ljt	ljt_044b	pv_044	point out	unacceptable	unacceptable	The pencil pointed out the error.	pointed out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_045a	rec_ljt_v5_ljt_045a.wav	aural_pv_ljt	ljt_045a	pv_045	sum up	acceptable	acceptable	The paragraph summed up the argument.	summed up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_045b	rec_ljt_v5_ljt_045b.wav	aural_pv_ljt	ljt_045b	pv_045	sum up	unacceptable	unacceptable	The paragraph summed up the deadline.	summed up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_046a	rec_ljt_v5_ljt_046a.wav	aural_pv_ljt	ljt_046a	pv_046	follow up	acceptable	acceptable	The nurse followed up after surgery.	followed up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_046b	rec_ljt_v5_ljt_046b.wav	aural_pv_ljt	ljt_046b	pv_046	follow up	unacceptable	unacceptable	The nurse followed up after furniture.	followed up	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_047a	rec_ljt_v5_ljt_047a.wav	aural_pv_ljt	ljt_047a	pv_047	lay out	acceptable	acceptable	The chart laid out the plan.	laid out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_047b	rec_ljt_v5_ljt_047b.wav	aural_pv_ljt	ljt_047b	pv_047	lay out	unacceptable	unacceptable	The chart laid out the spoon.	laid out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_048a	rec_ljt_v5_ljt_048a.wav	aural_pv_ljt	ljt_048a	pv_048	work out	acceptable	acceptable	The students worked out the answer.	worked out	Record with natural sentence prosody; avoid pausing between verb and particle.
rec_ljt_v5_ljt_048b	rec_ljt_v5_ljt_048b.wav	aural_pv_ljt	ljt_048b	pv_048	work out	unacceptable	unacceptable	The students worked out the carpet.	worked out	Record with natural sentence prosody; avoid pausing between verb and particle.
