ljt_item_id	pv_id	pv	condition	expected_response	sentence_text	target_form	intended_sense	mismatch_type	naturalness_1_4	sense_fit_or_mismatch_1_4	target_sense_clear_1_4	audio_suitability_1_4	reviewer_comments	decision_keep_revise_drop
ljt_001a	pv_001	break off	acceptable	acceptable	After weeks of argument, the union broke off the talks.	broke off	end talks or a relationship	none						
ljt_001b	pv_001	break off	unacceptable	unacceptable	After weeks of argument, the union broke off the talks but kept negotiating without a pause.	broke off	end talks or a relationship	semantic_contradiction						
ljt_002a	pv_002	hand over	acceptable	acceptable	The guard handed over the keys to the manager.	handed over	give control or possession to someone	none						
ljt_002b	pv_002	hand over	unacceptable	unacceptable	The guard handed over the keys but kept them in his pocket.	handed over	give control or possession to someone	semantic_contradiction						
ljt_003a	pv_003	give out	acceptable	acceptable	After the long climb, his knees finally gave out.	gave out	stop working properly	none						
ljt_003b	pv_003	give out	unacceptable	unacceptable	After the long climb, his knees gave out, so he sprinted easily to the top.	gave out	stop working properly	semantic_contradiction						
ljt_004a	pv_004	put in	acceptable	acceptable	She put in three hours before the meeting.	put in	devote time or effort	none						
ljt_004b	pv_004	put in	unacceptable	unacceptable	She put in three hours but spent no time on the report.	put in	devote time or effort	semantic_contradiction						
ljt_005a	pv_005	take in	acceptable	acceptable	The lecture was too fast to take in.	take in	understand fully	none						
ljt_005b	pv_005	take in	unacceptable	unacceptable	The lecture was too fast to take in, so everyone understood every detail.	take in	understand fully	semantic_contradiction						
ljt_006a	pv_006	sit back	acceptable	acceptable	The mayor sat back while the problem grew.	sat back	take no action	none						
ljt_006b	pv_006	sit back	unacceptable	unacceptable	The mayor sat back while he personally led the response.	sat back	take no action	semantic_contradiction						
ljt_007a	pv_007	hold back	acceptable	acceptable	Poor training held back the young players.	held back	prevent progress or potential	none						
ljt_007b	pv_007	hold back	unacceptable	unacceptable	The extra support held back the young players, so they improved faster.	held back	prevent progress or potential	semantic_contradiction						
ljt_008a	pv_008	move up	acceptable	acceptable	She moved up to a senior role last year.	moved up	advance to a higher position	none						
ljt_008b	pv_008	move up	unacceptable	unacceptable	She moved up to a junior role last year.	moved up	advance to a higher position	directional_semantic_mismatch						
ljt_009a	pv_009	get on	acceptable	acceptable	The tourists got on the bus near the station.	got on	board a vehicle	none						
ljt_009b	pv_009	get on	unacceptable	unacceptable	The tourists got on the bus, but they stayed on the sidewalk.	got on	board a vehicle	semantic_contradiction						
ljt_010a	pv_010	come along	acceptable	acceptable	A better chance came along during the project.	came along	appear or arrive	none						
ljt_010b	pv_010	come along	unacceptable	unacceptable	A better chance came along, although nothing new appeared.	came along	appear or arrive	semantic_contradiction						
ljt_011a	pv_011	stand out	acceptable	acceptable	Her clear answer stood out in the interview.	stood out	be noticeable or impressive	none						
ljt_011b	pv_011	stand out	unacceptable	unacceptable	Her ordinary answer stood out as exactly like all the others.	stood out	be noticeable or impressive	semantic_contradiction						
ljt_012a	pv_012	pull back	acceptable	acceptable	The company pulled back from the risky plan.	pulled back	withdraw from an activity	none						
ljt_012b	pv_012	pull back	unacceptable	unacceptable	The company pulled back from the risky plan by investing more money.	pulled back	withdraw from an activity	semantic_contradiction						
ljt_013a	pv_013	run out	acceptable	acceptable	The office ran out of paper before noon.	ran out	use all of something	none						
ljt_013b	pv_013	run out	unacceptable	unacceptable	The office ran out of paper, but there was plenty left.	ran out	use all of something	semantic_contradiction						
ljt_014a	pv_014	turn over	acceptable	acceptable	The officer turned over the files to the court.	turned over	give control or possession to an authority	none						
ljt_014b	pv_014	turn over	unacceptable	unacceptable	The officer turned over the files to the court but kept them locked in his desk.	turned over	give control or possession to an authority	semantic_contradiction						
ljt_015a	pv_015	put on	acceptable	acceptable	The school put on a play for the visitors.	put on	present or stage an event	none						
ljt_015b	pv_015	put on	unacceptable	unacceptable	The school put on a play but never performed it.	put on	present or stage an event	semantic_contradiction						
ljt_016a	pv_016	take back	acceptable	acceptable	The party took back control of the council.	took back	regain control or possession	none						
ljt_016b	pv_016	take back	unacceptable	unacceptable	The party took back control, but its opponent still controlled the council.	took back	regain control or possession	semantic_contradiction						
ljt_017a	pv_017	make out	acceptable	acceptable	I could barely make out the sign in the dark.	make out	see or hear with difficulty	none						
ljt_017b	pv_017	make out	unacceptable	unacceptable	I could barely make out the sign over the phone.	make out	see or hear with difficulty	modality_semantic_mismatch						
ljt_018a	pv_018	pay off	acceptable	acceptable	Her years of practice paid off in the final match.	paid off	become successful or beneficial	none						
ljt_018b	pv_018	pay off	unacceptable	unacceptable	Her years of practice paid off by making her lose every match.	paid off	become successful or beneficial	semantic_contradiction						
ljt_019a	pv_019	get off	acceptable	acceptable	The children got off the train at the last stop.	got off	leave a vehicle	none						
ljt_019b	pv_019	get off	unacceptable	unacceptable	The children got off the train but stayed in their seats.	got off	leave a vehicle	semantic_contradiction						
ljt_020a	pv_020	turn up	acceptable	acceptable	He turned up late for the meeting.	turned up	arrive or appear	none						
ljt_020b	pv_020	turn up	unacceptable	unacceptable	He turned up late for the meeting, but he never arrived.	turned up	arrive or appear	semantic_contradiction						
ljt_021a	pv_021	get down	acceptable	acceptable	The soldiers got down behind the wall.	got down	lower the body	none						
ljt_021b	pv_021	get down	unacceptable	unacceptable	The soldiers got down by standing taller.	got down	lower the body	semantic_contradiction						
ljt_022a	pv_022	cut off	acceptable	acceptable	The host cut off the speaker mid-sentence.	cut off	interrupt someone	none						
ljt_022b	pv_022	cut off	unacceptable	unacceptable	The host cut off the guest after she had finished speaking.	cut off	interrupt someone	temporal_semantic_mismatch						
ljt_023a	pv_023	bring in	acceptable	acceptable	The firm brought in an expert to solve the problem.	brought in	ask someone to do a job or task	none						
ljt_023b	pv_023	bring in	unacceptable	unacceptable	The firm brought in an expert, but no expert joined the project.	brought in	ask someone to do a job or task	semantic_contradiction						
ljt_024a	pv_024	put out	acceptable	acceptable	Police put out a warning about the danger.	put out	make information public	none						
ljt_024b	pv_024	put out	unacceptable	unacceptable	Police put out a warning but told no one about it.	put out	make information public	semantic_contradiction						
ljt_025a	pv_025	clean up	acceptable	acceptable	The editor cleaned up the rude comments.	cleaned up	remove unacceptable content or behavior	none						
ljt_025b	pv_025	clean up	unacceptable	unacceptable	The editor cleaned up the abusive comments by adding insults.	cleaned up	remove unacceptable content or behavior	semantic_contradiction						
ljt_026a	pv_026	set out	acceptable	acceptable	The report set out the main rules clearly.	set out	present or explain clearly	none						
ljt_026b	pv_026	set out	unacceptable	unacceptable	The report set out the rules, but no rules were explained.	set out	present or explain clearly	semantic_contradiction						
ljt_027a	pv_027	break down	acceptable	acceptable	The teacher broke down the task into steps.	broke down	divide into smaller parts	none						
ljt_027b	pv_027	break down	unacceptable	unacceptable	The teacher broke down the task into one large step.	broke down	divide into smaller parts	result_semantic_mismatch						
ljt_028a	pv_028	reach out	acceptable	acceptable	The manager reached out after the complaint.	reached out	contact someone or offer help	none						
ljt_028b	pv_028	reach out	unacceptable	unacceptable	The manager reached out by ignoring every message.	reached out	contact someone or offer help	semantic_contradiction						
ljt_029a	pv_029	keep up	acceptable	acceptable	She kept up the good work all semester.	kept up	make something continue	none						
ljt_029b	pv_029	keep up	unacceptable	unacceptable	She kept up the good work by stopping after one day.	kept up	make something continue	semantic_contradiction						
ljt_030a	pv_030	put up	acceptable	acceptable	They put up posters on the classroom wall.	put up	display or attach something	none						
ljt_030b	pv_030	put up	unacceptable	unacceptable	They put up posters but left them in the box.	put up	display or attach something	semantic_contradiction						
ljt_031a	pv_031	turn around	acceptable	acceptable	The new coach turned around the team.	turned around	make something successful after problems	none						
ljt_031b	pv_031	turn around	unacceptable	unacceptable	The new coach turned around the team by making it lose every game.	turned around	make something successful after problems	semantic_contradiction						
ljt_032a	pv_032	back up	acceptable	acceptable	The data backed up the main claim.	backed up	support with evidence	none						
ljt_032b	pv_032	back up	unacceptable	unacceptable	The data backed up the main claim by contradicting it.	backed up	support with evidence	semantic_contradiction						
ljt_033a	pv_033	look out	acceptable	acceptable	She looked out at the garden.	looked out	look outside	none						
ljt_033b	pv_033	look out	unacceptable	unacceptable	She looked out at the garden from a room with no window.	looked out	look outside	context_semantic_mismatch						
ljt_034a	pv_034	take out	acceptable	acceptable	He took out a loan to pay for the course.	took out	obtain an official service or document	none						
ljt_034b	pv_034	take out	unacceptable	unacceptable	He took out a loan but borrowed no money.	took out	obtain an official service or document	semantic_contradiction						
ljt_035a	pv_035	look back	acceptable	acceptable	Years later, they looked back on the decision.	looked back	think about a past event	none						
ljt_035b	pv_035	look back	unacceptable	unacceptable	Years later, they looked back on a decision that had not happened yet.	looked back	think about a past event	temporal_semantic_mismatch						
ljt_036a	pv_036	go up	acceptable	acceptable	The price went up from five dollars to ten.	went up	increase	none						
ljt_036b	pv_036	go up	unacceptable	unacceptable	The price went up from ten dollars to five.	went up	increase	directional_semantic_mismatch						
ljt_037a	pv_037	go down	acceptable	acceptable	The price went down from ten dollars to five.	went down	decrease	none						
ljt_037b	pv_037	go down	unacceptable	unacceptable	The price went down from five dollars to ten.	went down	decrease	directional_semantic_mismatch						
ljt_038a	pv_038	come on	acceptable	acceptable	Oh, come on, that cannot be true.	come on	express disbelief or disagreement	none						
ljt_038b	pv_038	come on	unacceptable	unacceptable	Oh, come on, that is exactly right.	come on	express disbelief or disagreement	discourse_semantic_mismatch						
ljt_039a	pv_039	come in	acceptable	acceptable	Experts came in to help with the problem.	came in	become involved	none						
ljt_039b	pv_039	come in	unacceptable	unacceptable	Experts came in to help, but they were never involved.	came in	become involved	semantic_contradiction						
ljt_040a	pv_040	come out	acceptable	acceptable	The truth came out during the trial.	came out	become known or revealed	none						
ljt_040b	pv_040	come out	unacceptable	unacceptable	The truth came out but remained completely secret.	came out	become known or revealed	semantic_contradiction						
ljt_041a	pv_041	bring about	acceptable	acceptable	The reforms brought about major changes.	brought about	cause something to happen	none						
ljt_041b	pv_041	bring about	unacceptable	unacceptable	The reforms brought about major changes, but nothing changed.	brought about	cause something to happen	semantic_contradiction						
ljt_042a	pv_042	carry out	acceptable	acceptable	The researchers carried out the survey in three schools.	carried out	conduct or perform a task	none						
ljt_042b	pv_042	carry out	unacceptable	unacceptable	The researchers carried out the hypothesis in three schools.	carried out	conduct or perform a task	object_semantic_mismatch						
ljt_043a	pv_043	rule out	acceptable	acceptable	The evidence ruled out a simple explanation.	ruled out	exclude a possibility	none						
ljt_043b	pv_043	rule out	unacceptable	unacceptable	The evidence ruled out fraud, so fraud was certain.	ruled out	exclude a possibility	semantic_contradiction						
ljt_044a	pv_044	point out	acceptable	acceptable	The teacher pointed out the error in the essay.	pointed out	draw attention to information	none						
ljt_044b	pv_044	point out	unacceptable	unacceptable	The teacher pointed out the error but never mentioned it.	pointed out	draw attention to information	semantic_contradiction						
ljt_045a	pv_045	sum up	acceptable	acceptable	The final paragraph summed up the argument.	summed up	summarize the main points	none						
ljt_045b	pv_045	sum up	unacceptable	unacceptable	The final paragraph summed up the argument by adding a new topic.	summed up	summarize the main points	semantic_contradiction						
ljt_046a	pv_046	follow up	acceptable	acceptable	The doctor followed up the test with a call.	followed up	take further action after something	none						
ljt_046b	pv_046	follow up	unacceptable	unacceptable	The doctor followed up the test with no further action.	followed up	take further action after something	semantic_contradiction						
ljt_047a	pv_047	lay out	acceptable	acceptable	The introduction laid out the plan for the paper.	laid out	present or arrange clearly	none						
ljt_047b	pv_047	lay out	unacceptable	unacceptable	The introduction laid out the plan in no clear order.	laid out	present or arrange clearly	semantic_contradiction						
ljt_048a	pv_048	work out	acceptable	acceptable	The students worked out the answer after class.	worked out	find or calculate a solution	none						
ljt_048b	pv_048	work out	unacceptable	unacceptable	The students worked out the answer by copying it from the board.	worked out	find or calculate a solution	method_semantic_mismatch						
