ljt_item_id	pv_id	pv	condition	expected_response	target_form	sentence_text	intended_sense	mismatch_type	source_material	notes	v6_pool_status	candidate_gate_status	pair_rationale
ljt_001a	pv_001	break off	acceptable	acceptable	broke off	The union broke off the talks.	end talks or a relationship	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.
ljt_001b	pv_001	break off	unacceptable	unacceptable	broke off	The union broke off the proposal.	end talks or a relationship	same_domain_collocation_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects belong to negotiation contexts; the unacceptable item targets the fact that break off selects talks or relations, not a proposal itself.
ljt_002a	pv_002	hand over	acceptable	acceptable	handed over	The guard handed over the prisoner.	give control or possession to someone	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.
ljt_002b	pv_002	hand over	unacceptable	unacceptable	handed over	The guard handed over the arrest.	give control or possession to someone	same_domain_object_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are legal-domain nouns; the unacceptable item keeps the domain but uses an event noun that cannot be handed over as custody or control.
ljt_008a	pv_008	move up	acceptable	acceptable	moved up	The team moved up to first place.	advance to a higher position	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.
ljt_008b	pv_008	move up	unacceptable	unacceptable	moved up	The team moved up to last place.	advance to a higher position	directional_hierarchy_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both outcomes are ranking positions; rejection depends on knowing that move up denotes upward rank movement.
ljt_009a	pv_009	get on	acceptable	acceptable	got on	The passengers got on the train.	board a vehicle	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.
ljt_009b	pv_009	get on	unacceptable	unacceptable	got on	The passengers got on the station.	board a vehicle	transport_anchor_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are transport-domain nouns; only a vehicle-like noun is compatible with the boarding sense.
ljt_011a	pv_011	stand out	acceptable	acceptable	stood out	One essay stood out among submissions.	be noticeable or impressive	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.
ljt_011b	pv_011	stand out	unacceptable	unacceptable	stood out	One essay stood out among pages.	be noticeable or impressive	comparison_set_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are writing-domain nouns; the unacceptable item changes the comparison set from same-class submissions to document parts.
ljt_012a	pv_012	pull back	acceptable	acceptable	pulled back	Investors pulled back from the project.	withdraw from an activity	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both complements are decision-domain nouns; the unacceptable item uses a state/result where an activity or commitment is expected.
ljt_012b	pv_012	pull back	unacceptable	unacceptable	pulled back	Investors pulled back from the approval.	withdraw from an activity	same_domain_complement_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both complements are decision-domain nouns; the unacceptable item uses a state/result where an activity or commitment is expected.
ljt_013a	pv_013	run out	acceptable	acceptable	ran out	The lab ran out of samples.	use all of something	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are research-domain nouns; samples can be depleted as supplies, whereas findings are not normally used up as a stock.
ljt_013b	pv_013	run out	unacceptable	unacceptable	ran out	The lab ran out of findings.	use all of something	resource_depletion_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are research-domain nouns; samples can be depleted as supplies, whereas findings are not normally used up as a stock.
ljt_014a	pv_014	turn over	acceptable	acceptable	turned over	The clerk turned over the records to police.	give control or possession to an authority	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are administrative/legal nouns; records can be surrendered to authorities, but permission is not an object surrendered in this frame.
ljt_014b	pv_014	turn over	unacceptable	unacceptable	turned over	The clerk turned over the permission to police.	give control or possession to an authority	authority_transfer_object_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are administrative/legal nouns; records can be surrendered to authorities, but permission is not an object surrendered in this frame.
ljt_015a	pv_015	put on	acceptable	acceptable	put on	The theater put on a musical.	present or stage an event	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects belong to theater contexts; the unacceptable item uses a theater-related artifact rather than an event or performance.
ljt_015b	pv_015	put on	unacceptable	unacceptable	put on	The theater put on a ticket.	present or stage an event	event_staging_object_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects belong to theater contexts; the unacceptable item uses a theater-related artifact rather than an event or performance.
ljt_016a	pv_016	take back	acceptable	acceptable	took back	The team took back the lead.	regain control or possession	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are sports-outcome nouns; lead can be regained, whereas loss is not normally regained by taking it back.
ljt_016b	pv_016	take back	unacceptable	unacceptable	took back	The team took back the loss.	regain control or possession	regain_control_object_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are sports-outcome nouns; lead can be regained, whereas loss is not normally regained by taking it back.
ljt_018a	pv_018	pay off	acceptable	acceptable	paid off	The investment paid off quickly.	become successful or beneficial	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both subjects are finance-domain nouns; investment can yield a benefit, while invoice is not normally an intransitive source of payoff.
ljt_018b	pv_018	pay off	unacceptable	unacceptable	paid off	The invoice paid off quickly.	become successful or beneficial	finance_domain_subject_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both subjects are finance-domain nouns; investment can yield a benefit, while invoice is not normally an intransitive source of payoff.
ljt_019a	pv_019	get off	acceptable	acceptable	got off	The passengers got off the ferry.	leave a vehicle	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are transport-domain nouns; only the vehicle-like noun supports the leave-a-vehicle sense.
ljt_019b	pv_019	get off	unacceptable	unacceptable	got off	The passengers got off the terminal.	leave a vehicle	transport_anchor_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are transport-domain nouns; only the vehicle-like noun supports the leave-a-vehicle sense.
ljt_020a	pv_020	turn up	acceptable	acceptable	turned up	The witness turned up at court.	arrive or appear	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both complements are legal-domain nouns; court is a location/event site, whereas testimony is not a place where someone turns up.
ljt_020b	pv_020	turn up	unacceptable	unacceptable	turned up	The witness turned up at testimony.	arrive or appear	appearance_location_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both complements are legal-domain nouns; court is a location/event site, whereas testimony is not a place where someone turns up.
ljt_022a	pv_022	cut off	acceptable	acceptable	cut off	The host cut off the caller abruptly.	interrupt someone	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_review_required	Both objects belong to talk-show discourse; the target sense selects an active speaker, not the topic of conversation.
ljt_022b	pv_022	cut off	unacceptable	unacceptable	cut off	The host cut off the topic abruptly.	interrupt someone	interaction_participant_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_review_required	Both objects belong to talk-show discourse; the target sense selects an active speaker, not the topic of conversation.
ljt_023a	pv_023	bring in	acceptable	acceptable	brought in	The firm brought in a consultant.	ask someone to do a job or task	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are professional-service nouns; the target sense requires a person or role, not the service event itself.
ljt_023b	pv_023	bring in	unacceptable	unacceptable	brought in	The firm brought in a consultation.	ask someone to do a job or task	recruitment_role_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are professional-service nouns; the target sense requires a person or role, not the service event itself.
ljt_026a	pv_026	set out	acceptable	acceptable	set out	The report set out the procedure.	present or explain clearly	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are document-domain nouns; the target sense selects an explanation or rules, not a document section as such.
ljt_026b	pv_026	set out	unacceptable	unacceptable	set out	The report set out the appendix.	present or explain clearly	document_content_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are document-domain nouns; the target sense selects an explanation or rules, not a document section as such.
ljt_027a	pv_027	break down	acceptable	acceptable	broke down	The coach broke down the play.	divide into smaller parts	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are sports-domain nouns; a play can be analyzed into parts, whereas a whistle is not an analytical problem in this frame.
ljt_027b	pv_027	break down	unacceptable	unacceptable	broke down	The coach broke down the whistle.	divide into smaller parts	analysis_object_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are sports-domain nouns; a play can be analyzed into parts, whereas a whistle is not an analytical problem in this frame.
ljt_028a	pv_028	reach out	acceptable	acceptable	reached out	The nurse reached out to patients.	contact someone or offer help	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both complements are health-domain nouns; the target sense requires a person or group that can be contacted.
ljt_028b	pv_028	reach out	unacceptable	unacceptable	reached out	The nurse reached out to symptoms.	contact someone or offer help	recipient_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both complements are health-domain nouns; the target sense requires a person or group that can be contacted.
ljt_030a	pv_030	put up	acceptable	acceptable	put up	The crew put up the banner.	display or attach something	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	reserve_needs_native_review	reserve_not_listed	Both objects are display/publicity materials, but brochure remains too plausible in a posting context; keep as reserve pending native review.
ljt_030b	pv_030	put up	unacceptable	unacceptable	put up	The crew put up the brochure.	display or attach something	display_attach_object_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	reserve_needs_native_review	reserve_not_listed	Both objects are display/publicity materials, but brochure remains too plausible in a posting context; keep as reserve pending native review.
ljt_031a	pv_031	turn around	acceptable	acceptable	turned around	The coach turned around the season.	make something successful after problems	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are sports-outcome nouns; a season can be transformed, whereas a defeat itself is not normally turned around after the fact.
ljt_031b	pv_031	turn around	unacceptable	unacceptable	turned around	The coach turned around the defeat.	make something successful after problems	improvement_object_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are sports-outcome nouns; a season can be transformed, whereas a defeat itself is not normally turned around after the fact.
ljt_032a	pv_032	back up	acceptable	acceptable	backed up	The data backed up the conclusion.	support with evidence	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are research-discourse nouns; data can support a conclusion, but not confusion as a claim.
ljt_032b	pv_032	back up	unacceptable	unacceptable	backed up	The data backed up the confusion.	support with evidence	evidence_support_object_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are research-discourse nouns; data can support a conclusion, but not confusion as a claim.
ljt_034a	pv_034	take out	acceptable	acceptable	took out	She took out a mortgage.	obtain an official service or document	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are finance/document nouns; mortgage fits the obtain-an-official-service sense, while receipt does not.
ljt_034b	pv_034	take out	unacceptable	unacceptable	took out	She took out a receipt.	obtain an official service or document	official_document_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are finance/document nouns; mortgage fits the obtain-an-official-service sense, while receipt does not.
ljt_040a	pv_040	come out	acceptable	acceptable	came out	The secret came out during trial.	become known or revealed	none	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_review_required	Both subjects are legal-domain nouns; the acceptable subject is hidden information, whereas the unacceptable subject is a person and risks alternate literal readings.
ljt_040b	pv_040	come out	unacceptable	unacceptable	came out	The witness came out during trial.	become known or revealed	revelation_subject_mismatch	Sonbul_ElDakhs_2024_supplement	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_review_required	Both subjects are legal-domain nouns; the acceptable subject is hidden information, whereas the unacceptable subject is a person and risks alternate literal readings.
ljt_041a	pv_041	bring about	acceptable	acceptable	brought about	The reforms brought about change.	cause something to happen	none	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are policy/research nouns; reforms can cause change, whereas evidence is normally produced or found rather than brought about by reforms.
ljt_041b	pv_041	bring about	unacceptable	unacceptable	brought about	The reforms brought about evidence.	cause something to happen	causal_result_mismatch	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are policy/research nouns; reforms can cause change, whereas evidence is normally produced or found rather than brought about by reforms.
ljt_042a	pv_042	carry out	acceptable	acceptable	carried out	The researchers carried out the analysis.	conduct or perform a task	none	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are research-domain nouns; analysis is a task that can be carried out, whereas hypothesis is a proposition to test.
ljt_042b	pv_042	carry out	unacceptable	unacceptable	carried out	The researchers carried out the hypothesis.	conduct or perform a task	research_task_mismatch	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are research-domain nouns; analysis is a task that can be carried out, whereas hypothesis is a proposition to test.
ljt_043a	pv_043	rule out	acceptable	acceptable	ruled out	The doctor ruled out infection.	exclude a possibility	none	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are medical-domain nouns; infection can be excluded as a possibility, whereas symptoms are observed signs, not the ruled-out condition.
ljt_043b	pv_043	rule out	unacceptable	unacceptable	ruled out	The doctor ruled out symptoms.	exclude a possibility	diagnostic_possibility_mismatch	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are medical-domain nouns; infection can be excluded as a possibility, whereas symptoms are observed signs, not the ruled-out condition.
ljt_044a	pv_044	point out	acceptable	acceptable	pointed out	The review pointed out the limitation.	draw attention to information	none	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are academic-document nouns; the review can identify a limitation, whereas appendix is a document part and creates weaker target fit.
ljt_044b	pv_044	point out	unacceptable	unacceptable	pointed out	The review pointed out the appendix.	draw attention to information	information_object_mismatch	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are academic-document nouns; the review can identify a limitation, whereas appendix is a document part and creates weaker target fit.
ljt_045a	pv_045	sum up	acceptable	acceptable	summed up	The abstract summed up the study.	summarize the main points	none	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are academic-document nouns; an abstract summarizes a study, not a heading.
ljt_045b	pv_045	sum up	unacceptable	unacceptable	summed up	The abstract summed up the heading.	summarize the main points	summary_object_mismatch	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both nouns are academic-document nouns; an abstract summarizes a study, not a heading.
ljt_046a	pv_046	follow up	acceptable	acceptable	followed up	The doctor followed up after the treatment.	take further action after something	none	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both complements are medical-domain nouns; the follow-up frame requires an event or case, not an instrument.
ljt_046b	pv_046	follow up	unacceptable	unacceptable	followed up	The doctor followed up after the thermometer.	take further action after something	follow_up_event_mismatch	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both complements are medical-domain nouns; the follow-up frame requires an event or case, not an instrument.
ljt_047a	pv_047	lay out	acceptable	acceptable	laid out	The diagram laid out the process.	present or arrange clearly	none	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are document/information nouns; diagram can present a process clearly, not normally a footnote.
ljt_047b	pv_047	lay out	unacceptable	unacceptable	laid out	The diagram laid out the footnote.	present or arrange clearly	information_organization_mismatch	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are document/information nouns; diagram can present a process clearly, not normally a footnote.
ljt_048a	pv_048	work out	acceptable	acceptable	worked out	The students worked out the equation.	find or calculate a solution	none	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are classroom-domain nouns; equation is a problem that can be solved, whereas pencil is not.
ljt_048b	pv_048	work out	unacceptable	unacceptable	worked out	The students worked out the pencil.	find or calculate a solution	problem_solving_object_mismatch	S&AW_PHaVE	v6 candidate: pre-audio expert review required; do not record yet	active_candidate	prelim_pass_native_review_required	Both objects are classroom-domain nouns; equation is a problem that can be solved, whereas pencil is not.
