target_slot_id	original_pv_id	original_pv	current_target_pv	source_set	quality_status	review_score_100	revision_priority	list_A_item_id	list_A_condition	list_B_item_id	list_B_condition	assignment_note
cljt_001	pv_001	break off	break off	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_001a	acceptable	cljt_001b	unacceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_002	pv_002	hand over	hand over	multi_agent_revision_v3	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_002b	unacceptable	cljt_002a	acceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_003	pv_003	give out	set up	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	cljt_003a	acceptable	cljt_003b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_004	pv_004	put in	take up	v2_replacement	minor_revision_needed	88	native_review_then_pilot	cljt_004a	acceptable	cljt_004b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_005	pv_005	take in	put off	v2_replacement	minor_revision_needed	88	native_review_then_pilot	cljt_005a	acceptable	cljt_005b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_006	pv_006	sit back	take on	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	cljt_006a	acceptable	cljt_006b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_007	pv_007	hold back	give in	v2_replacement	minor_revision_needed	86	native_review_then_pilot	cljt_007a	acceptable	cljt_007b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_008	pv_008	move up	move up	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	cljt_008a	acceptable	cljt_008b	unacceptable	retains_v6_candidate_assignment
cljt_009	pv_009	get on	get on	multi_agent_revision_v2	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_009b	unacceptable	cljt_009a	acceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_010	pv_010	come along	play out	multi_agent_revision_v1	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	cljt_010a	acceptable	cljt_010b	unacceptable	retains_v1_assignment_after_multi_agent_revision
cljt_011	pv_011	stand out	stand out	multi_agent_revision_v3	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_011a	acceptable	cljt_011b	unacceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_012	pv_012	pull back	pull back	multi_agent_revision_v3	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	cljt_012b	unacceptable	cljt_012a	acceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_013	pv_013	run out	run out	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_013a	acceptable	cljt_013b	unacceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_014	pv_014	turn over	turn over	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_014b	unacceptable	cljt_014a	acceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_015	pv_015	put on	put on	multi_agent_revision_v2	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_015a	acceptable	cljt_015b	unacceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_016	pv_016	take back	take back	multi_agent_revision_v3	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	cljt_016b	unacceptable	cljt_016a	acceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_017	pv_017	make out	sort out	v2_replacement	minor_revision_needed	86	native_review_then_pilot	cljt_017a	acceptable	cljt_017b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_018	pv_018	pay off	pay off	multi_agent_revision_v3	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	cljt_018a	acceptable	cljt_018b	unacceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_019	pv_019	get off	get off	multi_agent_revision_v2	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_019b	unacceptable	cljt_019a	acceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_020	pv_020	turn up	break out	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_020a	acceptable	cljt_020b	unacceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_021	pv_021	get down	pass on	v2_replacement	minor_revision_needed	86	native_review_then_pilot	cljt_021a	acceptable	cljt_021b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_022	pv_022	cut off	cut off	multi_agent_revision_v1	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_022b	unacceptable	cljt_022a	acceptable	retains_v1_assignment_after_multi_agent_revision
cljt_023	pv_023	bring in	bring in	multi_agent_revision_v2	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	cljt_023a	acceptable	cljt_023b	unacceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_024	pv_024	put out	bring out	v2_replacement	minor_revision_needed	86	native_review_then_pilot	cljt_024a	acceptable	cljt_024b	unacceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_025	pv_025	clean up	throw out	v2_replacement	minor_revision_needed	86	native_review_then_pilot	cljt_025b	unacceptable	cljt_025a	acceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_026	pv_026	set out	set out	multi_agent_revision_v2	multi_agent_revision_native_review_required	93	native_review_then_pilot_strong	cljt_026b	unacceptable	cljt_026a	acceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_027	pv_027	break down	break down	multi_agent_revision_v2	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_027a	acceptable	cljt_027b	unacceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_028	pv_028	reach out	reach out	multi_agent_revision_v3	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	cljt_028b	unacceptable	cljt_028a	acceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_029	pv_029	keep up	set off	v2_replacement	minor_revision_needed	88	native_review_then_pilot	cljt_029b	unacceptable	cljt_029a	acceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_030	pv_030	put up	put up	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_030b	unacceptable	cljt_030a	acceptable	retains_v1_assignment_after_multi_agent_revision
cljt_031	pv_031	turn around	go through	multi_agent_revision_v2	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_031a	acceptable	cljt_031b	unacceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_032	pv_032	back up	back up	multi_agent_revision_v2	multi_agent_revision_native_review_required	92	native_review_then_pilot_strong	cljt_032b	unacceptable	cljt_032a	acceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_033	pv_033	look out	open up	multi_agent_revision_v1	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_033b	unacceptable	cljt_033a	acceptable	retains_v1_assignment_after_multi_agent_revision
cljt_034	pv_034	take out	take out	multi_agent_revision_v3	multi_agent_revision_native_review_required	93	native_review_then_pilot_strong	cljt_034a	acceptable	cljt_034b	unacceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_035	pv_035	look back	fill in	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_035b	unacceptable	cljt_035a	acceptable	retains_v1_assignment_after_multi_agent_revision
cljt_036	pv_036	go up	hold up	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_036b	unacceptable	cljt_036a	acceptable	retains_v1_assignment_after_multi_agent_revision
cljt_037	pv_037	go down	shut down	v2_replacement	minor_revision_needed	88	native_review_then_pilot	cljt_037b	unacceptable	cljt_037a	acceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_038	pv_038	come on	turn down	v2_replacement	minor_revision_needed	88	native_review_then_pilot	cljt_038b	unacceptable	cljt_038a	acceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_039	pv_039	come in	take over	v2_replacement	production_candidate_after_native_review	90	native_review_then_pilot_strong	cljt_039b	unacceptable	cljt_039a	acceptable	new_balanced_assignment_for_replacement_or_reserve
cljt_040	pv_040	come out	come out	multi_agent_revision_v1	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_040b	unacceptable	cljt_040a	acceptable	retains_v1_assignment_after_multi_agent_revision
cljt_041	pv_041	bring about	bring about	multi_agent_revision_v3	multi_agent_revision_native_review_required	91	native_review_then_pilot_strong	cljt_041a	acceptable	cljt_041b	unacceptable	retains_v3_assignment_after_multi_agent_revision_round3
cljt_042	pv_042	carry out	carry out	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	cljt_042b	unacceptable	cljt_042a	acceptable	retains_v6_candidate_assignment
cljt_043	pv_043	rule out	rule out	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	cljt_043a	acceptable	cljt_043b	unacceptable	retains_v6_candidate_assignment
cljt_044	pv_044	point out	bring down	multi_agent_revision_v2	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_044b	unacceptable	cljt_044a	acceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_045	pv_045	sum up	sum up	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	cljt_045a	acceptable	cljt_045b	unacceptable	retains_v6_candidate_assignment
cljt_046	pv_046	follow up	follow up	multi_agent_revision_v2	multi_agent_revision_native_review_required	90	native_review_then_pilot_strong	cljt_046b	unacceptable	cljt_046a	acceptable	retains_v2_assignment_after_multi_agent_revision_round2
cljt_047	pv_047	lay out	lay out	v6_retained_or_reserve	prelim_pass_native_review_required	100	native_review_then_pilot_strong	cljt_047a	acceptable	cljt_047b	unacceptable	retains_v6_candidate_assignment
cljt_048	pv_048	work out	work out	v6_retained_or_reserve	prelim_pass_native_review_required	85	native_review_then_pilot	cljt_048b	unacceptable	cljt_048a	acceptable	retains_v6_candidate_assignment
