pv_id	pv	acceptable_item_id	acceptable_sentence	unacceptable_item_id	unacceptable_sentence	acceptable_natural_1_4	unacceptable_framing_1_4	pv_dependency_1_4	general_cue_risk_1_4	decision	expert_comment
pv_001	break off	ljt_001a	The committee broke off the negotiations.	ljt_001b	The committee broke off the agenda.	4	2	3	2	revise_minor	Agenda is a plausible committee noun, but broke off the agenda is mainly a collocational anomaly.
pv_002	hand over	ljt_002a	The officer handed over the documents.	ljt_002b	The officer handed over the deadline.	4	2	3	2	revise_minor	Deadline is not transferable; mismatch is local, but a more task-plausible object is needed.
pv_003	give out	ljt_003a	The old engine gave out suddenly.	ljt_003b	The old answer gave out suddenly.	4	1	2	4	revise_major	The old answer gave out is rejected from subject oddness, not specifically PV knowledge.
pv_004	put in	ljt_004a	She put in steady effort yesterday.	ljt_004b	She put in steady evidence yesterday.	3	2	2	3	revise_major	Put in evidence can be acceptable in legal/register contexts, so the mismatch is not controlled.
pv_005	take in	ljt_005a	The lecture was hard to take in.	ljt_005b	The doorway was hard to take in.	4	1	2	4	revise_major	Doorway is rejected by broad object semantics; take in is also polysemous.
pv_006	sit back	ljt_006a	The mayor sat back during the crisis.	ljt_006b	The mayor sat back during the sprint.	4	2	2	3	revise_major	Runner/sprint creates a world-knowledge mismatch; sit back is also posture/polysemy sensitive.
pv_007	hold back	ljt_007a	Poor training held back the players.	ljt_007b	Extra support held back the players.	4	2	2	3	revise_major	Extra support can sometimes hold players back, so the intended mismatch is unstable.
pv_008	move up	ljt_008a	She moved up to senior manager.	ljt_008b	She moved up to junior assistant.	4	3	4	1	keep_with_caution	The contrast is hierarchy-based and locally tied to move up; this is one of the stronger items.
pv_009	get on	ljt_009a	The tourists got on the bus.	ljt_009b	The tourists got on the lecture.	4	1	2	4	revise_major	Lecture is not a vehicle; the item is too easily solved from object category.
pv_010	come along	ljt_010a	A rare chance came along today.	ljt_010b	A rare schedule came along today.	4	2	2	3	revise_major	A schedule can come along in informal usage; the mismatch is weak and unstable.
pv_011	stand out	ljt_011a	Her analysis stood out among reports.	ljt_011b	Her analysis stood out among deadlines.	3	2	3	2	revise_minor	Among deadlines is an odd comparison set; use a more parallel competing-item set.
pv_012	pull back	ljt_012a	The company pulled back from investment.	ljt_012b	The company pulled back from approval.	3	2	3	2	revise_minor	Pulled back from approval is locally wrong, but approval is not a clean activity/involvement noun.
pv_013	run out	ljt_013a	The office ran out of paper.	ljt_013b	The office ran out of agenda.	4	1	2	4	revise_major	Agenda makes the depletion mismatch too obvious from noun semantics alone.
pv_014	turn over	ljt_014a	The officer turned over the files.	ljt_014b	The officer turned over the deadline.	4	2	3	2	revise_minor	Deadline is too generic; use a better legal/authority near-miss.
pv_015	put on	ljt_015a	The school put on a concert.	ljt_015b	The school put on a textbook.	4	2	3	2	revise_minor	Textbook is not an event; mismatch is clear but solved by noun type.
pv_016	take back	ljt_016a	The party took back the council.	ljt_016b	The party took back the outcome.	2	1	2	4	revise_major	Took back the council is less natural than took back control; outcome is a poor near-miss.
pv_017	make out	ljt_017a	I could barely make out the sign outside.	ljt_017b	I could barely make out the flavor outside.	4	3	1	4	drop_candidate	Make out the flavor is actually acceptable as discern a flavor; item cannot be used as keyed.
pv_018	pay off	ljt_018a	The hard work paid off eventually.	ljt_018b	The hard weather paid off eventually.	4	1	2	4	revise_major	Weather subject makes the item solvable without PV knowledge.
pv_019	get off	ljt_019a	The children got off the train.	ljt_019b	The children got off the deadline.	4	1	2	4	revise_major	Deadline is not a vehicle/location; use a travel-context near-miss.
pv_020	turn up	ljt_020a	He turned up at the meeting.	ljt_020b	He turned up at the method.	4	1	2	4	revise_major	Method is not a place/event; mismatch is broad object semantics.
pv_021	get down	ljt_021a	The soldiers got down behind the wall.	ljt_021b	The soldiers got down behind the idea.	4	1	2	4	revise_major	Idea is not a physical location; this is a general concreteness cue.
pv_022	cut off	ljt_022a	The host cut off the speaker.	ljt_022b	The host cut off the policy.	4	2	2	3	revise_major	Cut off the policy targets object type rather than the interrupt-someone sense.
pv_023	bring in	ljt_023a	The firm brought in an expert.	ljt_023b	The firm brought in a deadline.	4	2	1	4	revise_major	Bring in a deadline can mean introduce a deadline, so the keyed response is unsafe.
pv_024	put out	ljt_024a	Police put out a warning.	ljt_024b	Police put out a wallet.	4	2	2	3	revise_major	Wallet is too object-like; put out also has literal object-placement senses.
pv_025	clean up	ljt_025a	The editor cleaned up the insults.	ljt_025b	The editor cleaned up the deadline.	4	1	2	4	revise_major	Deadline is simply not cleanable; broad noun semantics solves the item.
pv_026	set out	ljt_026a	The report set out the rules.	ljt_026b	The report set out the pencils.	4	1	2	4	revise_major	Report plus pencils is a subject-object mismatch; set out has literal arrangement senses.
pv_027	break down	ljt_027a	The teacher broke down the problem.	ljt_027b	The teacher broke down the applause.	4	2	3	2	revise_minor	Applause is odd but the mismatch is fairly local to the decompose-an-object sense.
pv_028	reach out	ljt_028a	The manager reached out to clients.	ljt_028b	The manager reached out to deadlines.	4	2	3	2	revise_minor	Deadlines are not recipients; a human/institutional near-miss would be better.
pv_029	keep up	ljt_029a	She kept up the good work.	ljt_029b	She kept up the heavy claim.	4	1	2	4	revise_major	Heavy claim is unnatural independent of keep up.
pv_030	put up	ljt_030a	They put up posters downtown.	ljt_030b	They put up music downtown.	4	2	3	2	revise_minor	Music is less attachable/displayable than posters, but the item may be too noun-category based.
pv_031	turn around	ljt_031a	The coach turned around the team.	ljt_031b	The coach turned around the deadline.	4	2	3	2	revise_minor	Deadline is a weak object for business improvement; use a more plausible but wrong object.
pv_032	back up	ljt_032a	The data backed up the claim.	ljt_032b	The data backed up the deadline.	4	2	3	2	revise_minor	Deadline is not a proposition; mismatch is local but still object-type based.
pv_033	look out	ljt_033a	She looked out at the garden.	ljt_033b	She looked out at the deadline.	4	1	2	4	revise_major	Deadline is not visually look-out-at material; broad noun semantics solves it.
pv_034	take out	ljt_034a	He took out a loan yesterday.	ljt_034b	He took out a deadline yesterday.	4	2	3	2	revise_minor	Deadline is not an official service/document; object-type cue remains strong.
pv_035	look back	ljt_035a	They looked back on the decision.	ljt_035b	They looked back on the ceiling.	4	1	2	4	revise_major	Ceiling creates a broad object mismatch; not a good past-event near-miss.
pv_036	go up	ljt_036a	The rent went up sharply.	ljt_036b	The advice went up sharply.	4	2	2	3	revise_major	Advice can change in quality/amount metaphorically; the key is ambiguous.
pv_037	go down	ljt_037a	The rent went down sharply.	ljt_037b	The advice went down sharply.	4	2	2	3	revise_major	Advice went down has competing idioms and is not a stable unacceptable item.
pv_038	come on	ljt_038a	Oh, come on, that sounds impossible.	ljt_038b	Oh, come on, that sounds accurate.	3	2	1	4	drop_candidate	Come on is discourse/prosody sensitive; audio intonation can flip the interpretation.
pv_039	come in	ljt_039a	Experts came in during planning.	ljt_039b	Experts came in during deadline.	3	1	1	4	revise_major	During deadline is ungrammatical; item fails surface naturalness.
pv_040	come out	ljt_040a	The truth came out during interviews.	ljt_040b	The furniture came out during interviews.	4	1	2	4	revise_major	Furniture as subject makes the item trivially odd for the reveal sense.
pv_041	bring about	ljt_041a	The reforms brought about major change.	ljt_041b	The reforms brought about major furniture.	4	1	2	4	revise_major	Furniture is not an event/result; broad noun semantics solves the item.
pv_042	carry out	ljt_042a	The researchers carried out the survey.	ljt_042b	The researchers carried out the deadline.	4	2	3	2	revise_minor	Deadline is not a task/study; mismatch is local but object-type based.
pv_043	rule out	ljt_043a	The evidence ruled out that explanation.	ljt_043b	The evidence ruled out that deadline.	4	2	3	2	revise_minor	Deadline is not an explanation/possibility; acceptable but could be a better near-miss.
pv_044	point out	ljt_044a	The teacher pointed out the error.	ljt_044b	The pencil pointed out the error.	4	1	2	4	revise_major	Pencil subject is trivially non-agentive; not enough PV-meaning dependency.
pv_045	sum up	ljt_045a	The paragraph summed up the argument.	ljt_045b	The paragraph summed up the deadline.	4	2	2	3	revise_major	Deadline object is a broad object-type cue; use a text/content near-miss.
pv_046	follow up	ljt_046a	The nurse followed up after surgery.	ljt_046b	The nurse followed up after furniture.	4	1	2	4	revise_major	After furniture is surface-odd and does not test the follow-up sense cleanly.
pv_047	lay out	ljt_047a	The chart laid out the plan.	ljt_047b	The chart laid out the spoon.	4	1	2	4	revise_major	Chart plus spoon creates a broad object mismatch; lay out is also literal/polysemous.
pv_048	work out	ljt_048a	The students worked out the answer.	ljt_048b	The students worked out the carpet.	4	1	2	4	revise_major	Carpet is a broad object mismatch and does not test solution calculation cleanly.
