trial_order	phase	task	list_id	item_id	pv_id	pv	condition	expected_response	stimulus_text	target_form	audio_file_name	notes
1	practice	aural_pv_ljt	A	practice_ljt_v5_001		wake up	acceptable	acceptable	Mina woke up before the alarm.	woke up	rec_practice_ljt_v5_001.wav	v5 practice only; no overt contrast cue
2	practice	aural_pv_ljt	A	practice_ljt_v5_002		wake up	unacceptable	unacceptable	Mina woke up before the pencil.	woke up	rec_practice_ljt_v5_002.wav	v5 practice only; no overt contrast cue
3	practice	aural_pv_ljt	A	practice_ljt_v5_003		turn off	acceptable	acceptable	Please turn off the lamp.	turn off	rec_practice_ljt_v5_003.wav	v5 practice only; no overt contrast cue
4	practice	aural_pv_ljt	A	practice_ljt_v5_004		turn off	unacceptable	unacceptable	Please turn off the sandwich.	turn off	rec_practice_ljt_v5_004.wav	v5 practice only; no overt contrast cue
5	practice	aural_pv_ljt	A	practice_ljt_v5_005		give up	acceptable	acceptable	He gave up smoking last year.	gave up	rec_practice_ljt_v5_005.wav	v5 practice only; no overt contrast cue
6	practice	aural_pv_ljt	A	practice_ljt_v5_006		give up	unacceptable	unacceptable	He gave up rainfall last year.	gave up	rec_practice_ljt_v5_006.wav	v5 practice only; no overt contrast cue
7	main	aural_pv_ljt	A	ljt_029a	pv_029	keep up	acceptable	acceptable	She kept up the good work.	kept up	rec_ljt_v5_ljt_029a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
8	main	aural_pv_ljt	A	ljt_022b	pv_022	cut off	unacceptable	unacceptable	The host cut off the policy.	cut off	rec_ljt_v5_ljt_022b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
9	main	aural_pv_ljt	A	ljt_047a	pv_047	lay out	acceptable	acceptable	The chart laid out the plan.	laid out	rec_ljt_v5_ljt_047a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
10	main	aural_pv_ljt	A	ljt_016b	pv_016	take back	unacceptable	unacceptable	The party took back the outcome.	took back	rec_ljt_v5_ljt_016b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
11	main	aural_pv_ljt	A	ljt_012b	pv_012	pull back	unacceptable	unacceptable	The company pulled back from approval.	pulled back	rec_ljt_v5_ljt_012b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
12	main	aural_pv_ljt	A	ljt_042b	pv_042	carry out	unacceptable	unacceptable	The researchers carried out the deadline.	carried out	rec_ljt_v5_ljt_042b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
13	main	aural_pv_ljt	A	ljt_039a	pv_039	come in	acceptable	acceptable	Experts came in during planning.	came in	rec_ljt_v5_ljt_039a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
14	main	aural_pv_ljt	A	ljt_017a	pv_017	make out	acceptable	acceptable	I could barely make out the sign outside.	make out	rec_ljt_v5_ljt_017a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
15	main	aural_pv_ljt	A	ljt_026b	pv_026	set out	unacceptable	unacceptable	The report set out the pencils.	set out	rec_ljt_v5_ljt_026b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
16	main	aural_pv_ljt	A	ljt_048b	pv_048	work out	unacceptable	unacceptable	The students worked out the carpet.	worked out	rec_ljt_v5_ljt_048b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
17	main	aural_pv_ljt	A	ljt_031a	pv_031	turn around	acceptable	acceptable	The coach turned around the team.	turned around	rec_ljt_v5_ljt_031a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
18	main	aural_pv_ljt	A	ljt_046b	pv_046	follow up	unacceptable	unacceptable	The nurse followed up after furniture.	followed up	rec_ljt_v5_ljt_046b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
19	main	aural_pv_ljt	A	ljt_027a	pv_027	break down	acceptable	acceptable	The teacher broke down the problem.	broke down	rec_ljt_v5_ljt_027a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
20	main	aural_pv_ljt	A	ljt_028b	pv_028	reach out	unacceptable	unacceptable	The manager reached out to deadlines.	reached out	rec_ljt_v5_ljt_028b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
21	main	aural_pv_ljt	A	ljt_021a	pv_021	get down	acceptable	acceptable	The soldiers got down behind the wall.	got down	rec_ljt_v5_ljt_021a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
22	main	aural_pv_ljt	A	ljt_024b	pv_024	put out	unacceptable	unacceptable	Police put out a wallet.	put out	rec_ljt_v5_ljt_024b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
23	main	aural_pv_ljt	A	ljt_007a	pv_007	hold back	acceptable	acceptable	Poor training held back the players.	held back	rec_ljt_v5_ljt_007a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
24	main	aural_pv_ljt	A	ljt_019a	pv_019	get off	acceptable	acceptable	The children got off the train.	got off	rec_ljt_v5_ljt_019a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
25	main	aural_pv_ljt	A	ljt_004b	pv_004	put in	unacceptable	unacceptable	She put in steady evidence yesterday.	put in	rec_ljt_v5_ljt_004b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
26	main	aural_pv_ljt	A	ljt_006b	pv_006	sit back	unacceptable	unacceptable	The mayor sat back during the sprint.	sat back	rec_ljt_v5_ljt_006b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
27	main	aural_pv_ljt	A	ljt_010b	pv_010	come along	unacceptable	unacceptable	A rare schedule came along today.	came along	rec_ljt_v5_ljt_010b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
28	main	aural_pv_ljt	A	ljt_018b	pv_018	pay off	unacceptable	unacceptable	The hard weather paid off eventually.	paid off	rec_ljt_v5_ljt_018b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
29	main	aural_pv_ljt	A	ljt_034b	pv_034	take out	unacceptable	unacceptable	He took out a deadline yesterday.	took out	rec_ljt_v5_ljt_034b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
30	main	aural_pv_ljt	A	ljt_008b	pv_008	move up	unacceptable	unacceptable	She moved up to junior assistant.	moved up	rec_ljt_v5_ljt_008b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
31	main	aural_pv_ljt	A	ljt_001a	pv_001	break off	acceptable	acceptable	The committee broke off the negotiations.	broke off	rec_ljt_v5_ljt_001a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
32	main	aural_pv_ljt	A	ljt_044b	pv_044	point out	unacceptable	unacceptable	The pencil pointed out the error.	pointed out	rec_ljt_v5_ljt_044b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
33	main	aural_pv_ljt	A	ljt_002b	pv_002	hand over	unacceptable	unacceptable	The officer handed over the deadline.	handed over	rec_ljt_v5_ljt_002b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
34	main	aural_pv_ljt	A	ljt_032b	pv_032	back up	unacceptable	unacceptable	The data backed up the deadline.	backed up	rec_ljt_v5_ljt_032b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
35	main	aural_pv_ljt	A	ljt_014b	pv_014	turn over	unacceptable	unacceptable	The officer turned over the deadline.	turned over	rec_ljt_v5_ljt_014b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
36	main	aural_pv_ljt	A	ljt_013a	pv_013	run out	acceptable	acceptable	The office ran out of paper.	ran out	rec_ljt_v5_ljt_013a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
37	main	aural_pv_ljt	A	ljt_045a	pv_045	sum up	acceptable	acceptable	The paragraph summed up the argument.	summed up	rec_ljt_v5_ljt_045a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
38	main	aural_pv_ljt	A	ljt_020b	pv_020	turn up	unacceptable	unacceptable	He turned up at the method.	turned up	rec_ljt_v5_ljt_020b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
39	main	aural_pv_ljt	A	ljt_030b	pv_030	put up	unacceptable	unacceptable	They put up music downtown.	put up	rec_ljt_v5_ljt_030b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
40	main	aural_pv_ljt	A	ljt_033a	pv_033	look out	acceptable	acceptable	She looked out at the garden.	looked out	rec_ljt_v5_ljt_033a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
41	main	aural_pv_ljt	A	ljt_025a	pv_025	clean up	acceptable	acceptable	The editor cleaned up the insults.	cleaned up	rec_ljt_v5_ljt_025a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
42	main	aural_pv_ljt	A	ljt_038b	pv_038	come on	unacceptable	unacceptable	Oh, come on, that sounds accurate.	come on	rec_ljt_v5_ljt_038b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
43	main	aural_pv_ljt	A	ljt_015a	pv_015	put on	acceptable	acceptable	The school put on a concert.	put on	rec_ljt_v5_ljt_015a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
44	main	aural_pv_ljt	A	ljt_011a	pv_011	stand out	acceptable	acceptable	Her analysis stood out among reports.	stood out	rec_ljt_v5_ljt_011a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
45	main	aural_pv_ljt	A	ljt_009a	pv_009	get on	acceptable	acceptable	The tourists got on the bus.	got on	rec_ljt_v5_ljt_009a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
46	main	aural_pv_ljt	A	ljt_041a	pv_041	bring about	acceptable	acceptable	The reforms brought about major change.	brought about	rec_ljt_v5_ljt_041a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
47	main	aural_pv_ljt	A	ljt_023a	pv_023	bring in	acceptable	acceptable	The firm brought in an expert.	brought in	rec_ljt_v5_ljt_023a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
48	main	aural_pv_ljt	A	ljt_043a	pv_043	rule out	acceptable	acceptable	The evidence ruled out that explanation.	ruled out	rec_ljt_v5_ljt_043a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
49	main	aural_pv_ljt	A	ljt_035a	pv_035	look back	acceptable	acceptable	They looked back on the decision.	looked back	rec_ljt_v5_ljt_035a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
50	main	aural_pv_ljt	A	ljt_003a	pv_003	give out	acceptable	acceptable	The old engine gave out suddenly.	gave out	rec_ljt_v5_ljt_003a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
51	main	aural_pv_ljt	A	ljt_037a	pv_037	go down	acceptable	acceptable	The rent went down sharply.	went down	rec_ljt_v5_ljt_037a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
52	main	aural_pv_ljt	A	ljt_040b	pv_040	come out	unacceptable	unacceptable	The furniture came out during interviews.	came out	rec_ljt_v5_ljt_040b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
53	main	aural_pv_ljt	A	ljt_005a	pv_005	take in	acceptable	acceptable	The lecture was hard to take in.	take in	rec_ljt_v5_ljt_005a.wav	v5 production: short matched acceptable sentence; no overt contrast cue
54	main	aural_pv_ljt	A	ljt_036b	pv_036	go up	unacceptable	unacceptable	The advice went up sharply.	went up	rec_ljt_v5_ljt_036b.wav	v5 production: selectional mismatch; no overt contrast cue or explicit contradiction
