material_set,source,pv,sense_no,meaning,sentence,sense_frequency_coca,opacity_1_transparent_7_opaque,design_category,register_focus
core_40_supplement,Sonbul_ElDakhs_2024_supplement,break off,1,"Put an end to STH (relationship, discussion, talks, negotiations)","Following a disagreement, the government broke off diplomatic relations with China.",506.16,2.4,sense_competition,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,hand over,1,"Surrender control or responsibility for STH/SB to SB else, esp. officially",The government isn’t willing to hand over power to local authorities.,1245.42,3.8,formal_transfer,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,give out,1,"Collapse, fail; stop functioning properly (heart, knees)","At 95 years of age, her heart finally gave out.",347.76,4.7,opaque_idiomatic,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,put in,1,"Invest or devote so as to achieve STH (time, effort, work)",You need to put in more hours at the office every day.,808.25,2.3,effort_investment,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,take in,2,Fully understand or grasp the meaning of STH,You have to explain more thoroughly; it’s too difficult to take in.,667.98,5.3,opaque_comprehension,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,sit back,1,Deliberately take no action/remain passive about STH,We won’t just sit back and watch the situation getting worse and worse.,1376.32,3.3,idiomatic_stance,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,hold back,3,Decide not to do or say STH,They should not hold back from joining us if they want to.,988.65,3.2,withholding,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,move up,2,Move to a better position; advance to a higher level/rank,She moved up from secretary to senior manager in just a few years.,2101.37,3.6,career_status,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,get on,1,( + with …) Continue doing STH after stopping; proceed with STH,We might as well get on with it if we want to finish on time.,2973.93,4.8,formulaic_get_on_with,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,come along,2,Appear or arrive; come into existence,I didn’t expect such an opportunity to come along.,3969.38,3.5,opportunity_emergence,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,stand out,2,"Distinguish oneself/itself by being better, more significant or more impressive than other people/things",Excellent product quality is what made the brand stand out from its competitors.,3318.43,3.8,evaluative_salience,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,pull back,2,"Withdraw or retreat from an activity or location, esp. military",The army was forced to pull back due to bad weather.,1756.15,3.5,abstract_withdrawal,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,run out,2,Use STH (or become used) completely so that nothing is left,Unfortunately we’ve run out of biscuits.,2822.99,4,depletion,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,turn over,2,Surrender possession or control to SB/STH (esp. in authority),The policeman turned over the criminal to the jail guard.,3709.23,4,authority_transfer,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,put on,1,"Present or stage (play, show, competition)",They put on such an incredible show last night!,931.64,3.3,event_staging,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,take back,1,Regain possession or control over STH,The politician’s ultimate goal is to take back the Senate.,2160.42,3.6,regain_control,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,make out,3,See or hear with difficulty,I could barely make out his face in the dark.,4052.29,4.4,perceptual_difficulty,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,pay off,1,Pay back the effort spent in doing STH by becoming profitable or effective,All the hard work will pay off in the end.,3403.25,3.5,outcome_payoff,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,get off,2,(Get off to a … start) Begin STH in a certain way,The team has got off to a good start this season.,899.13,5.2,formulaic_start,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,turn up,1,Arrive or make an appearance somewhere,He turned up to the meeting half an hour late.,1052.52,4.8,appearance,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,get down,3,(+ to …) Begin to pay serious attention to STH,We should get down to discussing those issues as soon as possible.,1957.80,5.4,formulaic_get_down_to,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,cut off,2,Interrupt SB as they are speaking,The teacher cut off the student in the middle of her sentence.,1848.28,5,interaction_interrupt,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,bring in,1,Ask SB to do a particular job or task,He had been brought in to save the company.,2492.16,1.6,hire_recruit,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,put out,3,"Make STH known or accessible to the public (information, products)",Police have put out a warning about thieves in the area.,3899.59,3.1,public_release,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,clean up,1,"Make STH free from dangerous, unacceptable or controversial activities or contents",He was asked to clean up his language during the interview.,1827.76,4.3,moral_sanitizing,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,set out,1,"Explain or present STH clearly, esp. officially and in writing",The official recommendations were set out in the document.,1337.92,5.5,academic_present,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,break down,3,Divide or separate into categories or smaller components so as to make it easier to understand or deal with,Let’s break down the task into three easy steps.,1755.60,2.5,analysis_decompose,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,reach out,1,"Make an effort to address or communicate with SB, so as to help them or involve them in STH",The government has recently been trying to reach out to right-wing voters.,3903.39,3,communicative_outreach,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,keep up,2,"Move, progress or increase at the same rate or pace as SB/STH",Workers’ income has not kept up with inflation.,4897.16,3.3,pace_maintenance,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,put up,2,(+ with …) Be willing to accept STH unpleasant or not desirable; tolerate,I won’t put up with your bad behaviour for much longer.,2029.01,4.6,tolerance_put_up_with,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,turn around,2,"Make STH become better or more successful than it previously was (economy, business)",People have stopped believing the President could turn around the economy.,2793.49,4.8,improvement,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,back up,1,Establish as valid or genuine,You have to back up your accusations with solid evidence.,2345.41,3.7,support_evidence,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,look out,1,Take care of SB and make sure they are well; protect SB's interests,We look out for each other as if we were family.,3282.11,3.9,care_protect,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,take out,1,Obtain an official document or service from an authority,I had to take out a loan to cover all my expenses.,1777.88,3.2,official_service,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,look back,1,Look at STH/SB again after having momentarily looked elsewhere,Sometimes we look back on those days and realize we had a very happy life.,4576.50,2.9,retrospection,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,go up,2,Become higher in value; increase,Oil prices have gone up last year.,9424.95,2,increase,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,go down,2,Decrease in value or amount,I don’t think prices will go down.,5425.92,3,decrease,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,come on,1,"Said to show SB disbelief, disagreement, or anger","Oh come on, you’re just lying to me!",4073.55,5.1,discourse_marker,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,come in,1,Become involved in a situation,We need experts to come in and give us advice.,4257.12,2.1,become_involved,general
core_40_supplement,Sonbul_ElDakhs_2024_supplement,come out,1,Become known or revealed after being kept secret,The news came out that he was leaving the team.,4929.26,2.2,revelation,general
academic_extension,S&AW_PHaVE,bring about,1,"Cause to happen or emerge, especially something positive",This government decision will bring about many important changes.,,,academic_causation,academic
academic_extension,S&AW_PHaVE,carry out,1,"Conduct, perform, or complete a task, plan, study, or duty",The researchers carried out the survey in three schools.,,,academic_procedure,academic
academic_extension,S&AW_PHaVE,rule out,1,Exclude something as impossible or unsuitable,The evidence ruled out a simple explanation for the results.,,,academic_exclusion,academic
academic_extension,S&AW_PHaVE,point out,1,"Direct attention to a fact, idea, or piece of information",The author pointed out several problems with the earlier study.,,,academic_discourse,academic
academic_extension,S&AW_PHaVE,sum up,1,Summarize the main points of something,The final paragraph sums up the main findings of the study.,,,academic_summary,academic
academic_extension,S&AW_PHaVE,follow up,1,Take further action after something has started or been reported,The team followed up the interview with a short questionnaire.,,,academic_follow_up,academic
academic_extension,S&AW_PHaVE,lay out,1,Present or arrange information clearly,The introduction lays out the main questions of the paper.,,,academic_organization,academic
academic_extension,S&AW_PHaVE,work out,1,"Find, calculate, or understand a solution",The students worked out the answer after comparing the two graphs.,,,problem_solving,academic_general
